Deviations,EmotionCount,NumberWord,SucRate,Time2ans,True Value,Final Crisp Value
4.00,20.00,2.00,4.00,31.78,-1,3.54
6.00,0.00,3.00,6.15,14.37,1,4.31
8.00,1.00,2.00,2.50,10.41,-1,4.44
0.00,31.00,5.00,3.71,19.01,-1,3.56
1.00,41.00,3.00,3.33,19.57,-1,3.59
6.00,27.00,2.00,2.86,19.55,-1,3.63
7.00,272.00,1.00,2.00,52.38,-1,3.62
12.00,326.00,2.00,2.67,39.24,-1,3.65
13.00,171.00,1.00,10.00,9.56,1,5.50
1.00,61.00,2.00,10.00,12.86,1,5.50
4.00,162.00,6.00,4.55,36.58,0,3.51
4.00,228.00,2.00,0.86,20.22,-1,3.53
0.00,57.00,5.00,4.24,18.80,1,3.52
0.00,82.00,2.00,10.00,14.61,1,5.50
2.00,84.00,2.00,5.19,52.98,1,3.61
3.00,68.00,7.00,3.85,21.04,0,3.52
4.00,17.00,3.00,4.23,13.01,0,4.31
8.00,50.00,7.00,4.00,28.05,0,3.54
2.00,4.00,2.00,2.67,44.24,-1,3.65
5.00,0.00,1.00,0.77,13.37,-1,4.15
6.00,0.00,1.00,10.00,20.74,1,5.50
4.00,15.00,2.00,1.52,32.61,-1,3.58
7.00,75.00,1.00,4.67,16.12,1,3.50
10.00,4.00,2.00,4.67,16.92,-1,3.50
5.00,98.00,2.00,2.67,15.97,-1,3.56
5.00,109.00,2.00,2.50,21.04,-1,3.57
9.00,33.00,1.00,10.00,22.48,1,5.50
2.00,2.00,2.00,1.21,18.17,-1,3.55
9.00,43.00,2.00,2.67,27.72,-1,3.56
16.00,8.00,1.00,10.00,13.82,1,5.50
0.00,32.00,1.00,5.83,11.49,1,4.41
1.00,149.00,2.00,0.39,27.02,-1,3.51
3.00,10.00,2.00,2.67,25.56,-1,3.65
3.00,170.00,3.00,6.00,17.31,-1,4.25
4.00,206.00,3.00,3.12,15.82,-1,3.61
6.00,71.00,2.00,7.14,14.28,1,4.44
4.00,7.00,2.00,10.00,12.04,1,5.50
11.00,26.00,2.00,2.67,19.97,-1,3.65
13.00,10.00,1.00,5.83,9.14,1,4.49
1.00,24.00,2.00,10.00,18.43,1,5.50
