Deviations,EmotionCount,NumberWord,SucRate,Time2ans
0.3333333333333333,0.014742014742014743,0.42857142857142855,0.121,1.0
0.43333333333333335,0.0,0.7619047619047619,0.256,0.07503473830477074
0.5,0.0,0.5238095238095238,0.11200000000000002,0.2314343060058669
0.16666666666666666,0.2628992628992629,0.9523809523809523,0.267,0.312027173073954
0.6,0.21375921375921375,0.6190476190476191,0.13799999999999998,0.2973598888374247
1.0,0.06142506142506143,0.47619047619047616,0.5,0.25984251968503935
0.06666666666666667,0.21375921375921375,0.42857142857142855,0.667,0.2427049559981473
0.06666666666666667,0.13513513513513514,0.47619047619047616,0.9380000000000001,0.0963408985641501
0.06666666666666667,0.2702702702702703,0.42857142857142855,0.008,0.2020997375328084
0.0,0.32678132678132676,0.6666666666666666,0.41200000000000003,0.07534352323606608
0.03333333333333333,0.4594594594594595,0.5714285714285714,0.32599999999999996,0.14698162729658792
0.03333333333333333,0.4398034398034398,0.7142857142857143,0.394,0.10745715609078278
0.23333333333333334,0.9852579852579852,0.47619047619047616,0.267,0.8151922186197313
0.3333333333333333,0.19901719901719903,0.42857142857142855,0.231,0.20364366218928515
0.43333333333333335,0.6683046683046683,0.5714285714285714,0.429,0.866913694611703
0.1,0.06633906633906633,0.6666666666666666,0.514,0.13262312799135403
0.3,0.004914004914004914,0.5238095238095238,0.086,0.3123359580052494
0.3333333333333333,0.004914004914004914,0.5238095238095238,0.6519999999999999,0.14729041222788328
0.0,0.0,0.6190476190476191,0.42400000000000004,0.2575266327003242
0.0,0.0,0.42857142857142855,0.133,0.19221861973135712
0.0,0.009828009828009828,0.9047619047619048,0.377,0.3878338737069631
0.0,0.0,0.42857142857142855,0.538,0.023467654778446822
0.0,0.0,0.5238095238095238,0.34900000000000003,0.16195769646441252
0.06666666666666667,0.0,0.7619047619047619,0.217,0.3600432298903814
0.1,0.004914004914004914,0.5238095238095238,0.5,0.8000617569862591
0.23333333333333334,0.002457002457002457,0.6190476190476191,0.151,0.3450671607225567
0.3,0.004914004914004914,0.5714285714285714,0.265,0.21167207040296437
0.3333333333333333,0.4004914004914005,1.0,0.284,0.7370696310020072
0.4,0.22358722358722358,0.42857142857142855,0.2,0.16056816427358345
0.43333333333333335,0.25061425061425063,0.42857142857142855,1.0,0.15979620194534505
0.13333333333333333,0.14987714987714987,0.7619047619047619,0.48600000000000004,0.22742010189902734
0.16666666666666666,0.28501228501228504,0.6190476190476191,0.227,0.11085379033503166
0.2,0.6068796068796068,0.47619047619047616,0.148,0.14142349853327157
0.26666666666666666,1.0,0.5238095238095238,0.182,0.9555349698934693
0.3333333333333333,0.6461916461916462,0.42857142857142855,0.067,0.3473830477072719
